sys.exec.out.time {s},chaser.lvlh_rel_state.rel_state.trans.position[0] {m},chaser.lvlh_rel_state.rel_state.trans.position[1] {m},chaser.lvlh_rel_state.rel_state.trans.position[2] {m},chaser.lvlh_rel_state.rel_state.trans.velocity[0] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[1] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[2] {m/s},gnc.meas_rel_pos[0] {m},gnc.meas_rel_pos[1] {m},gnc.meas_rel_pos[2] {m},gnc.meas_rel_vel[0] {m/s},gnc.meas_rel_vel[1] {m/s},gnc.meas_rel_vel[2] {m/s},gnc.setpoint_pos[0] {m},gnc.setpoint_pos[1] {m},gnc.setpoint_pos[2] {m},gnc.setpoint_vel[0] {m/s},gnc.setpoint_vel[1] {m/s},gnc.setpoint_vel[2] {m/s},gnc.guidance.state_ {1},gnc.guidance.current_leg_ {--},gnc.cmd_force[0] {N},gnc.cmd_force[1] {N},gnc.cmd_force[2] {N},gnc.control.saturated_[0] {--},gnc.control.saturated_[1] {--},gnc.control.saturated_[2] {--}
0,-918.832811908114,-63.5974156315329,-28.6790271801874,0.95551898561466,0.62601706010121,1.84515258092868,-918.973099179027,-63.7019303125771,-28.8749666371621,0.952366064792537,0.62673048999236,1.8309970557498,-500,0,0,0,0,0,0,0,742.7095918788,64.7308116259182,-125.349772300656,0,0,0
1,-917.504521601712,-62.9390034428144,-26.898120767979,1.70098957368664,0.69080731733677,1.71623902475427,-917.44133141463,-63.0293157320933,-26.8786776763833,1.70876308570425,0.686378803304728,1.72548248355275,-500,0,0,0,0,0,0,0,664.006354258834,57.4207511337139,-118.790893002509,0,0,0
2,-915.470321164372,-62.2194592083097,-25.2440175593542,2.36734211019683,0.748281151674969,1.59159085307546,-915.508378666794,-62.263171384896,-25.1058768280249,2.36364753539362,0.758431019807826,1.58871985385575,-500,0,0,0,0,0,0,0,594.652003794226,48.6832407890094,-108.660231729525,0,0,0
3,-912.804635339585,-61.4468126775311,-23.7105042394124,2.96396536502305,0.797011909861995,1.47509862404968,-912.883445851664,-61.550703272748,-23.6566791818992,2.98353213351618,0.798205361913545,1.46747914602629,-500,0,0,0,0,0,0,0,527.41367835171,43.2808703541415,-99.4345562388301,0,0,0
4,-909.576116623154,-60.628139274569,-22.289724974296,3.49301252625506,0.840334896025026,1.3661609076874,-909.57136401722,-60.681385433532,-22.3322763819679,3.51056649675372,0.848797840956245,1.37142569105079,-500,0,0,0,0,0,0,0,468.086078359068,36.4829867714395,-92.4780163411431,0,0,0
5,-905.848372924603,-59.7695442158281,-20.9751302125951,3.96241878225748,0.876855221421297,1.26276329906599,-906.04059292577,-59.7365379354632,-20.8401402754774,3.95550686779919,0.869584578027573,1.26272784284658,-500,0,0,0,0,0,0,0,416.530499071622,32.5146180681691,-84.5925037337037,0,0,0
6,-901.677141547775,-58.8764150831095,-19.7606077170233,4.37999194524548,0.90940304401446,1.16604564806673,-901.69392763439,-58.9379642820088,-19.6590141012471,4.38435453890876,0.909637972195269,1.18443720989849,-500,0,0,0,0,0,0,0,364.952401377904,26.9121313444907,-79.1256927873545,0,0,0
7,-897.114259586208,-57.9535414504953,-18.6405698109952,4.74572274561925,0.936344221249524,1.07382340048053,-896.956846439095,-58.0062538768289,-18.6315751478049,4.74381600067721,0.922612911281937,1.05812007090971,-500,0,0,0,0,0,0,0,319.532092810469,23.7512166254642,-68.5488567953616,0,0,0
8,-892.208455475472,-57.0053089020539,-17.6078774963062,5.06584199521008,0.960120875683541,0.991380224047668,-892.201000875875,-57.0285994645745,-17.6055224790581,5.05819948596798,0.958391658408116,1.00745979488549,-500,0,0,0,0,0,0,0,278.582053154953,18.2180330883373,-65.5349345304327,0,0,0
9,-887.003121121882,-56.0360679480392,-16.6564531069799,5.34478476663111,0.978361032429641,0.911310806253969,-887.051479552469,-56.1346547386204,-16.4640669319955,5.3602400079746,0.968411848754861,0.912333828207719,-500,0,0,0,0,0,0,0,238.078958307479,15.4281246017547,-58.3052489567809,0,0,0
10,-881.539178910711,-55.0499834105873,-15.7817248036045,5.58306170609046,0.993808042559006,0.8380110242418,-881.50305534811,-55.188549040872,-15.7996503497112,5.58058472025233,0.999545134744982,0.831495798911477,-500,0,0,0,0,0,0,0,204.947638670988,10.4225846072458,-51.5502791917254,0,0,0
11,-875.853595570007,-54.050955953429,-14.9771148854093,5.78807077833489,1.00424687182372,0.771092825190413,-875.730155625383,-53.8944910552753,-14.9691020568491,5.77632543171437,1.00312165030676,0.777830959482662,-500,0,0,0,0,0,0,0,173.82776807933,7.476817079875,-47.844891834568,0,0,0
12,-869.978638959937,-53.0429638033762,-14.2377051671515,5.96181032095336,1.01173742824891,0.707628286988056,-870.08098933402,-52.9711696796466,-14.1305609884807,5.95274247583213,1.01338477021214,0.698629744006194,-500,0,0,0,0,0,0,0,144.887731084827,4.60386233807969,-41.601852423658,0,0,0
13,-863.944461370156,-52.028918726066,-13.5587189270047,6.10651629039344,1.01635272635615,0.650262269761543,-863.996717258187,-51.885759865978,-13.6107035718607,6.10232598220555,1.02798199365612,0.651236448081701,-500,0,0,0,0,0,0,0,117.760836295819,0.973320366343586,-37.9022376644487,0,0,0
14,-857.779195722325,-51.0120747113455,-12.9352781688448,6.22398859056216,1.01733530305051,0.596552709844355,-857.801278312353,-51.01691320452,-13.1411639014193,6.2142588717019,1.02740710916932,0.583186518733967,-500,0,0,0,0,0,0,0,94.1766694545164,-0.706884507891758,-32.0363240705582,0,0,0
15,-851.50827729412,-49.9950891573599,-12.3626122928424,6.31782524727776,1.01663580491436,0.548725854434243,-851.468919121587,-50.0814710194049,-12.3415745400342,6.32081103661883,1.01265019574897,0.543049327693641,-500,0,0,0,0,0,0,0,70.8567345812901,-1.10207753608718,-29.6217836892957,0,0,0
16,-845.155227382982,-48.9790016384428,-11.8365130867063,6.38825304343728,1.01553923296608,0.503432597827551,-845.135883361289,-48.96793528919,-12.0227139409768,6.39245429177109,1.01373857047979,0.498427002241099,-500,0,0,0,0,0,0,0,51.026337545468,-3.43798646959864,-25.7972723421563,0,0,0
17,-838.741690572189,-47.9651794372625,-11.3537230442528,6.4388013373797,1.01210516936445,0.462118755211997,-838.839857441202,-47.8571865768734,-11.34100616815,6.43374269778883,1.01303667324464,0.464397330577751,-500,0,0,0,0,0,0,0,34.3054451035202,-5.58929417071681,-23.757720721475,0,0,0
