sys.exec.out.time {s},chaser.lvlh_rel_state.rel_state.trans.position[0] {m},chaser.lvlh_rel_state.rel_state.trans.position[1] {m},chaser.lvlh_rel_state.rel_state.trans.position[2] {m},chaser.lvlh_rel_state.rel_state.trans.velocity[0] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[1] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[2] {m/s},gnc.meas_rel_pos[0] {m},gnc.meas_rel_pos[1] {m},gnc.meas_rel_pos[2] {m},gnc.meas_rel_vel[0] {m/s},gnc.meas_rel_vel[1] {m/s},gnc.meas_rel_vel[2] {m/s},gnc.setpoint_pos[0] {m},gnc.setpoint_pos[1] {m},gnc.setpoint_pos[2] {m},gnc.setpoint_vel[0] {m/s},gnc.setpoint_vel[1] {m/s},gnc.setpoint_vel[2] {m/s},gnc.guidance.state_ {1},gnc.guidance.current_leg_ {--},gnc.cmd_force[0] {N},gnc.cmd_force[1] {N},gnc.cmd_force[2] {N},gnc.control.saturated_[0] {--},gnc.control.saturated_[1] {--},gnc.control.saturated_[2] {--}
0,-979.576980488584,-30.8689487282354,32.4051006399095,-0.427614450395028,-0.393421910901247,1.63388835748516,-979.717267759497,-30.9734634092796,32.2091611829348,-0.43076737121715,-0.392708481010097,1.61973283230628,-500,0,0,0,0,0,0,0,1002.51127264071,101.217774919569,-226.391605596498,0,0,0
1,-979.502259671905,-31.211787985721,33.9256569919034,0.576927567827705,-0.292256604070134,1.40665636279861,-979.439069484823,-31.3021002749999,33.9451000834992,0.584701079845318,-0.296685118102176,1.41589982159709,-500,0,0,0,0,0,0,0,900.408030985115,92.2727123602174,-209.480182326708,0,0,0
2,-978.474415018078,-31.4579318097846,35.2258563014036,1.47864164384339,-0.200031044055115,1.19323230605727,-978.5124725205,-31.5016439863709,35.3639970327329,1.47494706904018,-0.189881175922258,1.19036130683757,-500,0,0,0,0,0,0,0,809.530238136982,81.9914055649677,-189.764124749223,0,0,0
3,-976.590621722135,-31.6169883509365,36.3211207635033,2.28883503343285,-0.118082038260876,0.996838311923162,-976.669432234214,-31.7208789461534,36.3749458210165,2.30840180192598,-0.116888586209326,0.989218833899773,-500,0,0,0,0,0,0,0,722.498684275829,75.1306165132393,-171.67177503201,0,0,0
4,-973.940439050167,-31.6975240068924,37.227865885818,3.01142982427981,-0.0429892736851179,0.816243074135551,-973.935686444233,-31.7507701658554,37.1853144781461,3.02898379477847,-0.0345263287538987,0.821507857498943,-500,0,0,0,0,0,0,0,644.97299341062,66.9541732071007,-156.521414706187,0,0,0
5,-970.606682427296,-31.7070530965762,37.9605893766101,3.65599083624178,0.0239310942840927,0.648839085646822,-970.798902428463,-31.6740468162113,38.0955793137279,3.64907892178348,0.016660450890368,0.648803629427415,-500,0,0,0,0,0,0,0,576.689912678577,61.6820485433857,-141.071521570197,0,0,0
6,-966.662730673496,-31.6522960937089,38.5327761104415,4.23182826997739,0.085582911429036,0.495208353884001,-966.67951676011,-31.7138452926081,38.6343697262176,4.23619086364067,0.0858178396098444,0.513599915715758,-500,0,0,0,0,0,0,0,509.739947156154,54.8459066242319,-128.628731024011,0,0,0
7,-962.176619327125,-31.5393035988054,38.9568453770752,4.74031662990008,0.140402078402018,0.352642172218645,-962.019206180012,-31.592016025139,38.9658400402656,4.73840988495804,0.126670768434431,0.336938842647834,-500,0,0,0,0,0,0,0,450.197423864221,50.5169552068348,-111.625564345315,0,0,0
8,-957.211945590343,-31.3736548464211,39.2462596102778,5.18896232923885,0.190895426417164,0.225932068650445,-957.204490990746,-31.3969454089417,39.2486146275259,5.18131981999675,0.189166209141738,0.242011639488268,-500,0,0,0,0,0,0,0,396.276999981818,43.8772699037095,-102.698393203879,0,0,0
9,-951.825745122488,-31.1608311850776,39.412942995501,5.58337488438468,0.234751896345192,0.107211095430138,-951.874103553076,-31.2594179756588,39.6053291704854,5.59883012572817,0.224802712670412,0.108234117383888,-500,0,0,0,0,0,0,0,343.865194533334,40.0385646842764,-90.0340700793597,0,0,0
10,-946.071455499719,-30.9060690330037,39.4668667527006,5.92514763908408,0.274772407877427,0.000442536883615841,-946.035331937119,-31.0446346632883,39.448941206594,5.92267065324595,0.280509500063403,-0.00607268844670749,-500,0,0,0,0,0,0,0,299.803598549644,34.0383193202363,-78.2906135685172,0,0,0
11,-939.997519013854,-30.6142853349589,39.4195890614809,6.22267513088181,0.308794988257111,-0.0951668252045255,-939.87407906923,-30.4578204368052,39.4276018900411,6.21092978426129,0.307669766740144,-0.0884286909122764,-500,0,0,0,0,0,0,0,258.655179712331,30.148664199596,-70.0123346888546,0,0,0
12,-933.646721605743,-30.2904228095932,39.2806164620248,6.47887410631767,0.338930062468515,-0.18292393663096,-933.749071979826,-30.2186286858636,39.3877606406956,6.46980626119645,0.340577404431741,-0.191922479612822,-500,0,0,0,0,0,0,0,220.517517840006,26.3795169285532,-59.5832733201091,0,0,0
13,-927.058851671564,-29.9383087815029,39.0589473284924,6.69682607564212,0.365297993682344,-0.260538285934028,-927.111107559594,-29.7951499214149,39.0069626836364,6.69263576745423,0.376927260982318,-0.259564107613871,-500,0,0,0,0,0,0,0,184.958638373765,21.897573744598,-52.0575146058857,0,0,0
14,-920.270866252223,-29.5620668644334,38.7633386232326,6.8791093769868,0.387185840443403,-0.330782939618675,-920.292948842251,-29.5669053576079,38.5574528906581,6.86937965812654,0.397257646562209,-0.344149130729062,-500,0,0,0,0,0,0,0,153.647931871848,19.4080460589949,-42.6999927084101,0,0,0
15,-913.316276981408,-29.165181039892,38.4021199014846,7.03003914156748,0.406585808635973,-0.391740609732709,-913.276918808875,-29.2515629019369,38.4231576542928,7.03302493090855,0.402600199470586,-0.397417136473312,-500,0,0,0,0,0,0,0,123.251344526894,18.2431058568152,-37.1046016612544,0,0,0
16,-906.22599296204,-28.7494769247339,37.9827597810508,7.15050216031494,0.424822421697575,-0.44704852072161,-906.206648940346,-28.738410575481,37.7965589267803,7.15470340864875,0.423021759211279,-0.452054116308062,-500,0,0,0,0,0,0,0,96.9429570158172,15.1746452298341,-30.3877062227544,0,0,0
17,-899.028413024306,-28.3170697365895,37.5114978304236,7.24463491184498,0.439991954563235,-0.49552939321469,-899.126579893319,-28.2090768762004,37.5242147065264,7.23957627225411,0.44092345844342,-0.493250817848936,-500,0,0,0,0,0,0,0,74.2955325612274,12.3258079080589,-25.7233476281592,0,0,0
18,-891.748042448227,-27.8709168426234,36.9941569199541,7.31608621781222,0.452313833342806,-0.539193624204572,-891.823100835018,-27.8695993909229,36.8092018056362,7.31926468722181,0.451894438838377,-0.532910124726979,-500,0,0,0,0,0,0,0,51.7197329478561,10.5497548980082,-20.3273911385745,0,0,0
19,-884.407507655847,-27.4133295049318,36.4359698140898,7.36496658111472,0.462860842009682,-0.577209027124008,-884.328709859816,-27.3591137768606,36.4410432319018,7.36410639593285,0.464252104457192,-0.553907605192904,-500,0,0,0,0,0,0,0,32.2467801263471,8.29301710800203,-17.4913259445133,0,0,0
20,-877.027844647487,-26.9463230214298,35.8413213624651,7.39434444233743,0.471152124923369,-0.612105295547422,-877.173451006802,-26.9708683410114,35.814546721657,7.39591716026863,0.460109810064657,-0.615359892645511,-500,0,0,0,0,0,0,0,14.7551859867418,7.9307556755571,-10.0931041787628,0,0,0
21,-869.627503708759,-26.471205920173,35.2156314761887,7.40632682342453,0.47908207756236,-0.639282062946035,-869.561746080732,-26.5735825893731,35.0933525342958,7.41751040845801,0.477200037243488,-0.634235061580897,-500,0,0,0,0,0,0,0,-2.6275486843366,5.42716145439736,-6.76319891050193,0,0,0
22,-862.223859280023,-25.9894102098508,34.5646240515355,7.40095353581428,0.484509343026803,-0.662730562563568,-862.119296174528,-25.8442703999503,34.7311672519811,7.3937222657727,0.491338399637522,-0.660090577011886,-500,0,0,0,0,0,0,0,-15.1336342282143,2.55470083614834,-3.45327680277374,0,0,0
23,-854.831821314558,-25.503623136111,33.8919927958627,7.38311595968495,0.487064804611537,-0.682522677066462,-854.890997205675,-25.4745696697017,34.022504409772,7.39673120112385,0.497057755633822,-0.681050836849581,-500,0,0,0,0,0,0,0,-29.8911257010362,1.24336377602121,0.0600748654142222,0,0,0
24,-847.46496830526,-25.0159358827284,33.2015546372547,7.35058585983254,0.488309702314231,-0.698336056549192,-847.5578880538,-24.8760348850072,33.1970654434887,7.35464249301493,0.487253205730235,-0.710475699068123,-500,0,0,0,0,0,0,0,-40.3484731938929,1.02674919699094,4.65343901983488,0,0,0
25,-840.13581925391,-24.5271117601986,32.4978002028995,7.30771084886444,0.489338542910041,-0.709149378406181,-840.03216366173,-24.419292619839,32.4924410822494,7.30786581868078,0.491490543364369,-0.700430086283255,-500,0,0,0,0,0,0,0,-50.7222545446175,-0.310469096758958,5.05812646382681,0,0,0
26,-832.854728021803,-24.0379271391631,31.7836582770203,7.25447067819775,0.489030699314868,-0.719105174532583,-832.836109662268,-24.0595691945128,31.7893801092013,7.24788395281872,0.466594649194794,-0.716737995280502,-500,0,0,0,0,0,0,0,-59.1161759573354,1.45967346954614,8.09503930964767,0,0,0
27,-825.6310280625,-23.5481650682064,31.0612949452849,7.19293023237566,0.490493442782567,-0.725587489856744,-825.688820480572,-23.3988531762674,31.2354452176515,7.20298914173757,0.486762434073286,-0.722737693813646,-500,0,0,0,0,0,0,0,-68.9212732126117,-1.87853705479377,9.80287894606165,0,0,0
28,-818.473738487914,-23.0586091035318,30.3335607225942,7.12165112806829,0.488618486592242,-0.729841445669286,-818.448345122046,-22.9005786511701,30.2772903812922,7.12410006984685,0.489517822798233,-0.736880663502981,-500,0,0,0,0,0,0,0,-75.5133167405917,-3.15062497748299,13.1334855877137,0,0,0
29,-811.390960710509,-22.571563962282,29.6034640297085,7.04390873220004,0.485471795870244,-0.730308772196854,-811.30497800588,-22.5546825789524,29.6930635232251,7.06644764103694,0.495213882011932,-0.723961528575617,-500,0,0,0,0,0,0,0,-84.0348080919342,-4.41202304328836,13.0100258111115,0,0,0
30,-804.390172720972,-22.0882959924265,28.8731129629601,6.95767174527112,0.481064143750558,-0.73034538430616,-804.389235992614,-22.0033207419635,28.8503624594962,6.94963896681003,0.482202181795319,-0.7198857162687,-500,0,0,0,0,0,0,0,-86.1854246957748,-4.21357669560483,14.2878467078776,0,0,0
31,-797.476660263624,-21.6093363934546,28.1435455662622,6.86935854149345,0.476855054138218,-0.728740250969659,-797.507229322174,-21.6598849016184,28.2676560723677,6.88108982507501,0.480237935495887,-0.740020156890824,-500,0,0,0,0,0,0,0,-93.0945238631531,-4.70402374635188,17.4667035443471,0,0,0
32,-790.65483932894,-21.1348309230968,27.4174446347383,6.77429074811282,0.472155886444664,-0.723408635820249,-790.661799583224,-21.257657895831,27.3649323774866,6.7694985902204,0.459793754944046,-0.725055437243439,-500,0,0,0,0,0,0,0,-95.6262598555928,-3.46405970274265,17.7756789693707,0,0,0
33,-783.929322967451,-20.6644045727914,26.6970360356303,6.67674974345922,0.468696814099299,-0.71735417281703,-784.006438203237,-20.5776892988978,26.7723657402019,6.67791797722345,0.465075837237209,-0.728249065125081,-500,0,0,0,0,0,0,0,-99.7789213158711,-5.35220512592532,19.2801750321042,0,0,0
34,-777.303369990562,-20.1983812576532,25.9836768563523,6.57516504187481,0.463349816245777,-0.709307502622948,-777.345030078117,-20.3342367213571,25.8744755035584,6.57184204071305,0.450830205724482,-0.708241972214104,-500,0,0,0,0,0,0,0,-102.494143915071,-4.41454712973401,19.0752462142937,0,0,0
35,-770.780335677095,-19.7372360420714,25.2784859038081,6.47091249001486,0.458940614773463,-0.701016201310492,-770.818237093526,-19.6983861607463,25.1128885477246,6.47047033660383,0.467111908761551,-0.698768253287914,-500,0,0,0,0,0,0,0,-105.410559473331,-7.31441855466244,19.6510482333423,0,0,0
36,-764.362972375979,-19.2819498875658,24.5821080564882,6.36382354083426,0.451631694137324,-0.69167968171663,-764.552958269683,-19.0620163732667,24.6550693006328,6.36049513229614,0.454686466093842,-0.705687088438951,-500,0,0,0,0,0,0,0,-106.943596690248,-7.34461386285083,21.2585702426294,0,0,0
37,-758.05340171449,-18.8339877083565,23.8960813622169,6.25532828907109,0.444292664171629,-0.680313089409683,-758.224200133646,-18.844312712846,24.0155886289935,6.2512849721157,0.447433794567749,-0.680814301339186,-500,0,0,0,0,0,0,0,-108.680096944278,-7.05475403108285,20.0502528759316,0,0,0
38,-751.853188119834,-18.3932195874276,23.2210368998393,6.14510890435097,0.437243577632669,-0.669714234148309,-751.745465920535,-18.4844925642572,23.3304137554827,6.14542569734084,0.408313151806764,-0.667290342450915,-500,0,0,0,0,0,0,0,-111.051637893013,-3.86233005216203,20.0682067341261,0,0,0
39,-745.764347890333,-17.9579042800871,22.5568374593538,6.03258176684514,0.433387036827871,-0.658621735738385,-745.823588923593,-17.9721936356396,22.706831873802,6.01960962292097,0.42731595976637,-0.660672123560935,-500,0,0,0,0,0,0,0,-110.313784444911,-6.78720870535778,20.6535486084895,0,0,0
40,-739.787622274136,-17.5279079705225,21.9041948678396,5.92088013032633,0.426605582180356,-0.646600995535782,-739.829948708718,-17.5899200479602,22.068469367627,5.93817081505889,0.430057200797529,-0.641867798292885,-500,0,0,0,0,0,0,0,-114.157184088454,-7.8258799838325,20.0498410940345,0,0,0
41,-733.924499838452,-17.1052123540406,21.2635481402572,5.80537530646976,0.418785650704913,-0.634627855224339,-733.797582688118,-17.0577732554973,21.2871403318421,5.79773387967087,0.432186354370908,-0.651196033762655,-500,0,0,0,0,0,0,0,-112.17822259085,-9.10308892609623,22.5453227125814,0,0,0
42,-728.175802656105,-16.6909753185863,20.6362675644186,5.6920311226489,0.40968842012124,-0.619869900536193,-728.159469706681,-16.61388307213,20.5356917479158,5.69796811774218,0.407964940109372,-0.627404467021834,-500,0,0,0,0,0,0,0,-113.477872360856,-7.56872786667732,21.6690632063518,0,0,0
43,-722.541083687474,-16.2850683018558,20.0235291494792,5.5774185626851,0.402125613278762,-0.605542811972407,-722.413766034266,-16.3146152158663,20.184935645054,5.57628179530551,0.415849915330863,-0.587793158333954,-500,0,0,0,0,0,0,0,-112.800647462019,-8.95576110135366,18.4094445432873,0,0,0
44,-717.020685000064,-15.8874176333355,19.4236654833428,5.46338884781394,0.393175723613868,-0.594120723727936,-717.094041605437,-15.9436777255959,19.334043801795,5.46275432376691,0.408905681126648,-0.602195750280161,-500,0,0,0,0,0,0,0,-112.087349165817,-9.00321266147302,21.5514874244262,0,0,0
45,-711.613849487449,-15.4987405914807,18.8369660565697,5.35029410598235,0.384178360100863,-0.579214855579097,-711.642193781025,-15.5730274512321,19.0358787887099,5.34940892161295,0.3901492760501,-0.58136902917508,-500,0,0,0,0,0,0,0,-111.656504599246,-7.86887270254585,20.0651453400882,0,0,0
46,-706.319896361219,-15.118493757575,18.2646088929707,5.23762336672148,0.376315307673995,-0.565436427100357,-706.310487777398,-15.0415045699128,18.1488688591521,5.23855323286362,0.374444903552907,-0.580849580965048,-500,0,0,0,0,0,0,0,-111.234347731566,-7.36148121546515,21.7872203782005,0,0,0
47,-701.138323536205,-14.7458562872889,17.7070678263405,5.12553460166019,0.368959632908099,-0.549582986297061,-701.037242762458,-14.7338533251556,17.8243936397444,5.11324386478975,0.370620291697193,-0.572393345434831,-500,0,0,0,0,0,0,0,-109.249900954059,-7.594322519408,21.5905472639942,0,0,0
48,-696.067816977114,-14.3806909637401,17.1654161864653,5.01549080306253,0.361371014132906,-0.533658722199956,-696.21263910809,-14.452600531021,17.1207742284832,5.01944929090616,0.360427511235886,-0.533081145940211,-500,0,0,0,0,0,0,0,-109.519650874437,-7.13755006154651,19.0665661370547,0,0,0
49,-691.107521908937,-14.0228858715522,16.6386209309909,4.90511034402892,0.354239170161723,-0.519870026956312,-691.217227323622,-14.0023048933178,16.4707995195719,4.89829609118483,0.339081595118616,-0.525193016486163,-500,0,0,0,0,0,0,0,-107.395154471239,-5.90354972522606,19.5777026094724,0,0,0
50,-686.256499081957,-13.6715956765006,16.1259946451897,4.79694667852866,0.3483412198472,-0.505322025346817,-686.415144954445,-13.4038313573638,16.1177268918367,4.79570051099783,0.332449283009717,-0.52358116922442,-500,0,0,0,0,0,0,0,-106.739761190893,-6.43726558624407,20.1226631387685,0,0,0
51,-681.513262807392,-13.326470305252,15.6283509945044,4.68953765961606,0.34190952252425,-0.489905175630354,-681.493271147865,-13.1780269808619,15.5057638686574,4.6679646691499,0.343290045701579,-0.483227747165175,-500,0,0,0,0,0,0,0,-103.80992461926,-7.9729506084341,17.3112469792028,0,0,0
52,-676.876020469987,-12.988544555531,15.1448149522187,4.58495725821422,0.333941977051893,-0.477108399732343,-676.984677625464,-12.9875366287661,15.1692865265093,4.58012596853894,0.323326124523757,-0.472154603528743,-500,0,0,0,0,0,0,0,-104.043241602965,-6.35753919484353,16.8768872998557,0,0,0
53,-672.34345711056,-12.6577786404259,14.6740413869193,4.48017959791988,0.327589852980042,-0.464380106297025,-672.225889663278,-12.4518864580622,14.6778329336393,4.48335618969015,0.328717943572465,-0.482604202951448,-500,0,0,0,0,0,0,0,-103.883839642458,-7.96802144112209,18.9047544278662,0,0,0
54,-667.915499382163,-12.3341700900525,14.2171791265335,4.37574726177202,0.319627247728045,-0.44928598291468,-667.90403702245,-12.3157499929921,14.0233599598288,4.36744022937158,0.319431380754473,-0.446698195433161,-500,0,0,0,0,0,0,0,-100.935948892257,-7.31163808946324,16.6230996236584,0,0,0
55,-663.590539561359,-12.0181960340719,13.7743558809036,4.27418252601,0.312320864177803,-0.436303689553313,-663.573072267142,-11.8985882545729,13.9295932945702,4.27417850305414,0.301529311712304,-0.442030140822796,-500,0,0,0,0,0,0,0,-100.27170577113,-6.35575466208464,16.3438274931392,0,0,0
56,-659.366791281578,-11.7090504376149,13.3445249444554,4.17332412524755,0.305970328709128,-0.423301760819029,-659.345230422516,-11.6375877983047,13.0627809252299,4.17850150993034,0.303024994770221,-0.418556953283557,-500,0,0,0,0,0,0,0,-99.1596901480012,-7.0273238804127,15.7301334778959,0,0,0
57,-655.243335958974,-11.4065911910755,12.9275231037418,4.0735963514631,0.298948164168711,-0.410646133912315,-655.304426699516,-11.420138644642,12.8521041656187,4.07289074958044,0.282948625124805,-0.406679841342621,-500,0,0,0,0,0,0,0,-96.6802215590111,-5.45458522319663,14.9637758030247,0,0,0
58,-651.21836683318,-11.1103678051763,12.5228805036367,3.97635133341638,0.293498607576816,-0.398584676572626,-651.178118460238,-11.0236493734171,12.411146410383,3.97222825862338,0.28663877019166,-0.409230716046309,-500,0,0,0,0,0,0,0,-94.8665889418618,-6.61657827233184,16.100778783865,0,0,0
59,-647.289671594574,-10.8201750163018,12.1309692082751,3.88104926858346,0.286886970064215,-0.385184619670169,-647.199343145638,-10.8915483975058,12.1624878636474,3.89922963014294,0.268902489952211,-0.381260398158469,-500,0,0,0,0,0,0,0,-95.5242767230179,-5.10715220020941,13.801064088552,0,0,0
60,-643.456654014976,-10.5358391402296,11.75149292793,3.78499486649939,0.281784781890322,-0.373714221733367,-643.442602411702,-10.4466452732631,11.7082972824127,3.77895513027851,0.279982536592538,-0.388591998297645,-500,0,0,0,0,0,0,0,-91.0103082044474,-7.10496311272766,15.442605264939,0,0,0
61,-639.717355606893,-10.2576044699207,11.3843112789476,3.69361179150272,0.274684558677984,-0.360597986816563,-639.603995473273,-10.2590654610634,11.3554949543475,3.68985091947644,0.287217284329553,-0.362843710942539,-500,0,0,0,0,0,0,0,-89.7771010010985,-8.20359751082847,13.5733811855589,0,0,0
62,-636.068861107584,-9.98701937586518,11.0294235574193,3.60338606372522,0.266485629285171,-0.349127017267509,-636.287289608424,-9.80531488427535,10.9473285978772,3.60229651116765,0.266056589187536,-0.351648786619882,-500,0,0,0,0,0,0,0,-87.6550718999176,-6.9950291502029,13.2702214662338,0,0,0
63,-632.509518102657,-9.72402898220082,10.6859313028534,3.51530865913799,0.259495157989733,-0.337808264124555,-632.442245647014,-9.68417969745743,10.6883335237004,3.50260800589852,0.249278671929439,-0.331269699842751,-500,0,0,0,0,0,0,0,-85.3763092958232,-5.55950779802909,11.7503029368743,0,0,0
64,-629.03714481439,-9.46731136102266,10.3530650340649,3.42944579343537,0.253940084204186,-0.327876293806857,-628.904611970991,-9.41699905184912,10.3831877693064,3.43932592303989,0.249247273501811,-0.329760870970901,-500,0,0,0,0,0,0,0,-86.1233683620068,-6.09072924648288,12.2097115584773,0,0,0
65,-625.650966309916,-9.21641440417653,10.0305311808809,3.34291948661732,0.247853829397113,-0.317143059866446,-625.933521346814,-9.28897905105416,9.84491754224675,3.34200277276623,0.248920563570364,-0.330215261969181,-500,0,0,0,0,0,0,0,-82.3332345829961,-6.31409825492805,13.3316911124247,0,0,0
