sys.exec.out.time {s},chaser.lvlh_rel_state.rel_state.trans.position[0] {m},chaser.lvlh_rel_state.rel_state.trans.position[1] {m},chaser.lvlh_rel_state.rel_state.trans.position[2] {m},chaser.lvlh_rel_state.rel_state.trans.velocity[0] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[1] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[2] {m/s},gnc.meas_rel_pos[0] {m},gnc.meas_rel_pos[1] {m},gnc.meas_rel_pos[2] {m},gnc.meas_rel_vel[0] {m/s},gnc.meas_rel_vel[1] {m/s},gnc.meas_rel_vel[2] {m/s},gnc.setpoint_pos[0] {m},gnc.setpoint_pos[1] {m},gnc.setpoint_pos[2] {m},gnc.setpoint_vel[0] {m/s},gnc.setpoint_vel[1] {m/s},gnc.setpoint_vel[2] {m/s},gnc.guidance.state_ {1},gnc.guidance.current_leg_ {--},gnc.cmd_force[0] {N},gnc.cmd_force[1] {N},gnc.cmd_force[2] {N},gnc.control.saturated_[0] {--},gnc.control.saturated_[1] {--},gnc.control.saturated_[2] {--}
0,-948.220076377679,-0.0582839901455656,21.2193173002452,-0.195789749965382,-0.18070845049857,0.686002749947889,-948.360363648591,-0.162798671189768,21.0233778432705,-0.198942670787504,-0.17999502060742,0.671847224769013,-500,0,0,0,0,0,0,0,916.614994375933,18.3250994031215,-109.231478163442,0,0,0
1,-947.957458819221,-0.229840691828842,21.8503563822926,0.720962543033744,-0.162404952868127,0.575556547078621,-947.894268632139,-0.320152981107776,21.8697994738883,0.728736055051356,-0.166833466900169,0.584800005877105,-500,0,0,0,0,0,0,0,822.914931759143,17.3236526522325,-102.219599535487,0,0,0
2,-946.825118597623,-0.383593515168814,22.3730112970961,1.54365849646919,-0.145100693814776,0.469287557586308,-946.863176100045,-0.427305691755162,22.5111520284254,1.53996392166598,-0.134950825681919,0.466416558366604,-500,0,0,0,0,0,0,0,739.729960033492,14.3496939517022,-91.6639598935111,0,0,0
3,-944.911835296518,-0.521528078586032,22.7934249569259,2.28285378637409,-0.130768433040098,0.371121212897145,-944.990645808597,-0.625418673802948,22.8472500144391,2.30242055486722,-0.129574980988547,0.363501734873755,-500,0,0,0,0,0,0,0,659.739236130472,14.2083354464606,-82.0446735162537,0,0,0
4,-942.299493099787,-0.645200117911693,23.1194129331945,2.94178099425118,-0.116575645638091,0.280481547740881,-942.294740493853,-0.698446276874688,23.0768615255227,2.95933496474984,-0.108112700706872,0.285746331104273,-500,0,0,0,0,0,0,0,588.655984512722,12.2081626244365,-74.7283561614726,0,0,0
5,-939.063893224347,-0.755678618647869,23.3575059035158,3.52937267240966,-0.104381355856568,0.195371506959809,-939.256113225514,-0.722672338282913,23.4924958406336,3.52246075795136,-0.111651999250293,0.195336050740401,-500,0,0,0,0,0,0,0,526.266150655892,12.6105446015951,-66.5185967553073,0,0,0
6,-935.272006400552,-0.853760903448335,23.5138111913718,4.05435902776908,-0.0917832137515168,0.116941556860067,-935.288792487167,-0.915310102347588,23.615404807148,4.05872162143235,-0.0915482855707085,0.135333118691824,-500,0,0,0,0,0,0,0,464.705422831099,10.985448761766,-60.7641214834783,0,0,0
7,-930.986015930335,-0.940056868694201,23.593919317206,4.51758282961446,-0.080808716707717,0.0430120918576442,-930.828602783223,-0.992769295027797,23.6029139803964,4.51567608467242,-0.0945400266753042,0.0273087622868329,-500,0,0,0,0,0,0,0,410.089597099204,11.439541257586,-49.9367041894761,0,0,0
8,-926.264176499945,-1.01515064708587,23.6049747190158,4.92606276417684,-0.0693788400005291,-0.0211329523067842,-926.256721900348,-1.03844120960648,23.6073297362638,4.91842025493474,-0.0711080572759542,-0.00505338146896212,-500,0,0,0,0,0,0,0,360.671418307223,9.18768814680839,-46.7093213256315,0,0,0
9,-921.158648601952,-1.07993989301981,23.5530588160919,5.28496135680386,-0.0601996517992806,-0.0829024930358153,-921.207007032539,-1.17852668360102,23.7454449910763,5.30041659814734,-0.070148835474061,-0.0818794710820652,-500,0,0,0,0,0,0,0,312.372354250344,9.37193691460815,-39.3029428739461,0,0,0
