sys.exec.out.time {s},chaser.lvlh_rel_state.rel_state.trans.position[0] {m},chaser.lvlh_rel_state.rel_state.trans.position[1] {m},chaser.lvlh_rel_state.rel_state.trans.position[2] {m},chaser.lvlh_rel_state.rel_state.trans.velocity[0] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[1] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[2] {m/s},gnc.meas_rel_pos[0] {m},gnc.meas_rel_pos[1] {m},gnc.meas_rel_pos[2] {m},gnc.meas_rel_vel[0] {m/s},gnc.meas_rel_vel[1] {m/s},gnc.meas_rel_vel[2] {m/s},gnc.setpoint_pos[0] {m},gnc.setpoint_pos[1] {m},gnc.setpoint_pos[2] {m},gnc.setpoint_vel[0] {m/s},gnc.setpoint_vel[1] {m/s},gnc.setpoint_vel[2] {m/s},gnc.guidance.state_ {1},gnc.guidance.current_leg_ {--},gnc.cmd_force[0] {N},gnc.cmd_force[1] {N},gnc.cmd_force[2] {N},gnc.control.saturated_[0] {--},gnc.control.saturated_[1] {--},gnc.control.saturated_[2] {--}
0,-990.927253250249,76.5343913009396,-95.6674351301044,-0.37133606074587,0.166434470389508,1.25699022832436,-991.067540521162,76.4298766198954,-95.8633745870791,-0.374488981567993,0.167147900280658,1.24283470314548,-500,0,0,0,0,0,0,0,1019.58397919912,-169.574543267856,67.4432788596103,0,0,0
1,-990.78796465474,76.616049184712,-94.3770174476173,0.64995090098541,-0.00311870284434396,1.32326752696506,-990.724774467658,76.5257368954331,-94.3575743560216,0.657724413003022,-0.00754721687638615,1.33251098576355,-500,0,0,0,0,0,0,0,915.677107635014,-152.296752103228,55.4640501356883,0,0,0
2,-989.679245358698,76.5367917307388,-93.0279197198495,1.56751739737721,-0.155396205102777,1.3744090322015,-989.71730286112,76.4930795541524,-92.8897789885202,1.563822822574,-0.145246336969919,1.3715380329818,-500,0,0,0,0,0,0,0,823.05232346484,-138.461525411313,48.6257546788607,0,0,0
3,-987.699195979248,76.3121734211902,-91.6324923207577,2.39260620955516,-0.293840414010957,1.41597922203224,-987.778006491327,76.2082828259733,-91.5786672632445,2.41217297804829,-0.292646961959407,1.40835974400885,-500,0,0,0,0,0,0,0,734.338715177825,-123.151869456006,42.321360125604,0,0,0
4,-984.938355512266,75.956764803482,-90.1998392688759,3.1290951835555,-0.416976821437774,1.44891049106348,-984.933602906332,75.903518644519,-90.2423906765478,3.14664915405415,-0.408513876506555,1.45417527442687,-500,0,0,0,0,0,0,0,655.202290407249,-110.955649638382,35.0672539104083,0,0,0
5,-981.480554363099,75.484317070315,-88.7389014647328,3.78652278660185,-0.527918644911075,1.47259348311509,-981.672774364266,75.5173233506799,-88.603911527615,3.77961087214356,-0.535189288304799,1.47255802689568,-500,0,0,0,0,0,0,0,585.384461514175,-97.5157178708799,29.9520203656623,0,0,0
6,-977.400205393347,74.9076467506815,-87.2577110079629,4.37418736265593,-0.625421994358037,1.48945528933658,-977.416991479962,74.8460975517822,-87.1561173921867,4.3785499563192,-0.625187066177228,1.50784685116834,-500,0,0,0,0,0,0,0,516.978987328003,-87.1734884858416,23.5275496675396,0,0,0
7,-972.766383615731,74.2386434901285,-85.763591396466,4.89346432744526,-0.712584526721166,1.49849050493244,-972.608970468619,74.1859310637949,-85.7545967332756,4.89155758250322,-0.726315836688753,1.48278717536163,-500,0,0,0,0,0,0,0,456.062182686915,-75.7402784587144,23.230475930388,0,0,0
8,-967.643719738022,73.4881936427463,-84.2611852139823,5.35187104622926,-0.788315167985885,1.50606288643142,-967.636265138425,73.4649030802257,-84.2588301967343,5.34422853698715,-0.79004438526131,1.52214245726924,-500,0,0,0,0,0,0,0,400.849676578134,-67.9253676343204,16.3034146665442,0,0,0
9,-962.090267510167,72.6659200493744,-82.7551617615226,5.75503684483955,-0.856232018682475,1.50575631402527,-962.138625940754,72.5673332587932,-82.5627755865382,5.77049208618304,-0.866181202357255,1.50677933597902,-500,0,0,0,0,0,0,0,347.228043263204,-58.5165462818608,14.4476175751742,0,0,0
10,-956.160459484954,71.7804334444953,-81.2507485422842,6.10458142222213,-0.914741191001334,1.5028727665385,-956.124335922354,71.6418678142106,-81.2686740883908,6.102104436384,-0.909004098815358,1.49635754120818,-500,0,0,0,0,0,0,0,302.038228206308,-52.3833257468854,12.9015940559635,0,0,0
11,-949.903703595462,70.8395037958389,-79.7502993662657,6.40893157296216,-0.967118106241436,1.49785381556075,-949.780263650838,70.9959686939926,-79.7422865377055,6.39718622634163,-0.968243327758403,1.504591949853,-500,0,0,0,0,0,0,0,259.841904667513,-45.1676046121449,9.02537809011073,0,0,0
12,-943.363717143191,69.8498046564678,-78.2570328332754,6.67104029327462,-1.01228017251103,1.48853138818471,-943.466067517274,69.9215987801973,-78.1498886546046,6.6619724481534,-1.0106328305478,1.47953284520284,-500,0,0,0,0,0,0,0,220.734890219208,-38.7799145056142,8.34649278892482,0,0,0
13,-936.581181882443,68.8181368752875,-76.7735812506814,6.89402879876144,-1.05105538988366,1.4782460573003,-936.633437770474,68.9612957353755,-76.8255658955374,6.88983849057355,-1.03942612258369,1.47922023562046,-500,0,0,0,0,0,0,0,184.283026483592,-33.979979212382,5.72910822902878,0,0,0
14,-929.593907263009,67.7500934635236,-75.3018093290795,7.08051757449036,-1.08503143365314,1.46519272418798,-929.615989853037,67.7452549703491,-75.5076950616539,7.0707878556301,-1.07495962753433,1.45182653307759,-500,0,0,0,0,0,0,0,152.153194143063,-27.9945471872651,5.83273681554846,0,0,0
15,-922.436214444935,66.6510663747001,-73.8430791274888,7.23486532681195,-1.11302274398935,1.45218080770114,-922.396856272401,66.5646845126552,-73.8220413746806,7.23785111615302,-1.11700835315473,1.44650428096054,-500,0,0,0,0,0,0,0,121.0086009295,-21.428533709837,2.993654653307,0,0,0
16,-915.139777951474,65.5273306603141,-72.398756586674,7.35800344382782,-1.13444868483099,1.43639506396765,-915.12043392978,65.538397009567,-72.5849574409445,7.36220469216163,-1.13624934731728,1.4313894683812,-500,0,0,0,0,0,0,0,94.0203986433969,-17.4518592874058,2.03096804376878,0,0,0
17,-907.733717084753,64.3841570548266,-70.9706471666607,7.45411366732107,-1.15189852620491,1.41976986112112,-907.831883953766,64.4921499152157,-70.9579302905579,7.44905502773019,-1.15096702232472,1.42204843648688,-500,0,0,0,0,0,0,0,70.7582651345131,-13.8875975979591,-0.288983067571792,0,0,0
18,-900.243212430784,63.2253154994093,-69.5602458695199,7.52688985370013,-1.16578458462987,1.4009920221913,-900.318270817575,63.2266329511098,-69.7452009838378,7.53006832310971,-1.1662039791343,1.4072755216689,-500,0,0,0,0,0,0,0,47.6297093241794,-9.8328679887897,-1.23715019921408,0,0,0
19,-892.691520916278,62.0546150047019,-68.1689682519765,7.57648704261292,-1.17561640477245,1.38153561710097,-892.612723120247,62.1088307327731,-68.1638948341644,7.57562685743105,-1.17422514232494,1.40483703903208,-500,0,0,0,0,0,0,0,27.6627604973887,-6.79514723305171,-4.15591423487876,0,0,0
20,-885.10026481991,60.8756013500139,-66.798461490173,7.6060175614645,-1.18241090461834,1.35946165718015,-885.245871179225,60.8510560304323,-66.8252361309812,7.6075902793957,-1.19345321947705,1.35620706008206,-500,0,0,0,0,0,0,0,9.73271441888062,-2.35679011315935,-1.97023374624365,0,0,0
21,-877.488437401748,59.6920121671106,-65.4487705995192,7.61763112672692,-1.18476746121884,1.3399140127181,-877.422679773721,59.5896354979105,-65.5710495414121,7.6288147117604,-1.18664950153771,1.34496101408324,-500,0,0,0,0,0,0,0,-8.03611162859784,-0.5143208420495,-3.35400232549947,0,0,0
22,-869.873913843671,58.5069874771595,-64.1191149586245,7.61140929628931,-1.18528191862917,1.31940124495884,-869.769350738175,58.6521272870599,-63.9525717581788,7.60417802624773,-1.17845286201845,1.32204123051052,-500,0,0,0,0,0,0,0,-20.8791011484219,0.541031627725019,-4.29897953469421,0,0,0
