sys.exec.out.time {s},chaser.lvlh_rel_state.rel_state.trans.position[0] {m},chaser.lvlh_rel_state.rel_state.trans.position[1] {m},chaser.lvlh_rel_state.rel_state.trans.position[2] {m},chaser.lvlh_rel_state.rel_state.trans.velocity[0] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[1] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[2] {m/s},gnc.meas_rel_pos[0] {m},gnc.meas_rel_pos[1] {m},gnc.meas_rel_pos[2] {m},gnc.meas_rel_vel[0] {m/s},gnc.meas_rel_vel[1] {m/s},gnc.meas_rel_vel[2] {m/s},gnc.setpoint_pos[0] {m},gnc.setpoint_pos[1] {m},gnc.setpoint_pos[2] {m},gnc.setpoint_vel[0] {m/s},gnc.setpoint_vel[1] {m/s},gnc.setpoint_vel[2] {m/s},gnc.guidance.state_ {1},gnc.guidance.current_leg_ {--},gnc.cmd_force[0] {N},gnc.cmd_force[1] {N},gnc.cmd_force[2] {N},gnc.control.saturated_[0] {--},gnc.control.saturated_[1] {--},gnc.control.saturated_[2] {--}
0,-1005.86828287227,-106.826220455807,-3.97991466987878,-0.308790735648701,-0.602331592023946,2.04430670330565,-1006.00857014319,-106.930735136851,-4.17585412685348,-0.311943656470823,-0.601618162132795,2.03015117812678,-500,0,0,0,0,0,0,0,1043.21150593345,274.023286486981,-194.663409558971,0,0,0
1,-1005.65391279283,-107.291582913276,-2.03326379378053,0.737420215932066,-0.328393322913885,1.84840375243945,-1005.59072260575,-107.381895202554,-2.01382070218477,0.745193727949678,-0.332821836945927,1.85764721123793,-500,0,0,0,0,0,0,0,936.662072416536,248.045974099702,-181.737079719424,0,0,0
2,-1004.44692513507,-107.495991470976,-0.277697701508622,1.67645053966151,-0.0804237924851165,1.66219764413122,-1004.4849826375,-107.539703647563,-0.139556970179343,1.6727559648583,-0.0702739243522589,1.65932664491151,-500,0,0,0,0,0,0,0,841.694368789164,222.106799730351,-165.653550550792,0,0,0
3,-1002.34867811928,-107.465396228593,1.29828029782953,2.51994701919066,0.141614277241926,1.48928150353433,-1002.42748863136,-107.56928682381,1.35210535534272,2.53951378768379,0.142807729293477,1.48166202551094,-500,0,0,0,0,0,0,0,750.903598494347,200.857800718272,-150.870413261779,0,0,0
4,-999.452586297596,-107.223383733451,2.70751565806912,3.27214767533813,0.342410712998118,1.32876391370935,-999.447833691662,-107.276629892414,2.66496425039726,3.28970164583678,0.350873657929338,1.33402869707275,-500,0,0,0,0,0,0,0,669.925502799646,179.465893991895,-138.732798208069,0,0,0
5,-995.845015602862,-106.791267479666,3.96126165518611,3.94291093564996,0.521821794544459,1.17834875942087,-996.037235604029,-106.758261199301,4.09625159230386,3.93599902119167,0.514551151150734,1.17831330320147,-500,0,0,0,0,0,0,0,598.474569088891,162.061407283529,-126.023833504754,0,0,0
6,-991.602612053377,-106.188439481141,5.07005701272848,4.54181999717482,0.683834202501122,1.03890320707812,-991.619398139991,-106.249988680041,5.17165062850465,4.54618259083809,0.684069130681931,1.05729476890987,-500,0,0,0,0,0,0,0,528.620537196173,144.093064291888,-116.072778147997,0,0,0
7,-986.796415148783,-105.432580424077,6.04364804537542,5.07050282874795,0.827883911678044,0.907979764840711,-986.639002001671,-105.48529285041,6.05264270856579,5.06859608380591,0.814152601710457,0.892276435269899,-500,0,0,0,0,0,0,0,466.41839562275,129.555325529775,-101.332928944122,0,0,0
8,-981.49278156715,-104.539937967928,6.89307435826348,5.5367013375231,0.957401000678408,0.790609050584404,-981.485326967553,-104.563228530449,6.89542937551156,5.52905882828099,0.955671783402983,0.806688621422226,-500,0,0,0,0,0,0,0,410.064771107007,113.5592787206,-94.4597208932457,0,0,0
9,-975.751279497929,-103.525774178603,7.62806631053421,5.94624342628187,1.07092657805182,0.679143039735065,-975.799637928517,-103.624360969185,7.82045248551861,5.96169866762536,1.06097739437704,0.680166061688815,-500,0,0,0,0,0,0,0,355.429409094497,101.150982500665,-83.6575111399188,0,0,0
10,-969.627668455687,-102.404286728953,8.25661091041269,6.30092522548532,1.17204832132244,0.577745330425161,-969.591544893087,-102.542852359238,8.23868536430603,6.29844823964719,1.17778541350842,0.571230105094837,-500,0,0,0,0,0,0,0,309.338265821454,87.3071633676335,-73.6003812380958,0,0,0
11,-963.172517329721,-101.188597555995,8.78847393074608,6.60932915839396,1.25933002465545,0.485806020280349,-963.049077385098,-101.032132657842,8.79648675930632,6.59758381177344,1.25820480313848,0.492544154572598,-500,0,0,0,0,0,0,0,266.339773592851,76.2437850018355,-66.8473889758725,0,0,0
12,-956.43055758559,-99.8911566267502,9.23154500396286,6.8745462224251,1.33555183379945,0.400185826984778,-956.532907959673,-99.8193625030207,9.33868918263369,6.86547837730387,1.33719917576268,0.391187284002915,-500,0,0,0,0,0,0,0,226.517978188958,65.9188074297735,-57.7961067655589,0,0,0
13,-949.443355316982,-98.5226547417211,9.59336609446207,7.0998193234017,1.40145193621636,0.323328618578406,-949.495611205013,-98.3794958816332,9.5413814496061,7.09562901521381,1.41308120351633,0.324302796898564,-500,0,0,0,0,0,0,0,189.428320888645,55.4508714116334,-51.5130425890686,0,0,0
14,-942.249489858508,-97.0934852159801,9.88138453668535,7.28787620447427,1.45688711522093,0.252601551680579,-942.271572448536,-97.0983237091546,9.67549880411089,7.27814648561401,1.46695892133973,0.239235360570192,-500,0,0,0,0,0,0,0,156.728496335671,47.5007552843358,-43.274533665241,0,0,0
15,-934.883951247345,-95.6128542200079,10.102754435457,7.44317036531317,1.50437487666615,0.190050041900346,-934.844593074811,-95.6992360820529,10.1237921882652,7.44615615465425,1.50038926750076,0.184373515159743,-500,0,0,0,0,0,0,0,125.073570684198,41.3595454140295,-38.6849358925047,0,0,0
16,-927.378993824719,-94.0878047880442,10.2638915707951,7.56671655243175,1.54572398721703,0.132153959855555,-927.359649803025,-94.0767384387914,10.0776907165246,7.57091780076556,1.54392332473074,0.127148364269103,-500,0,0,0,0,0,0,0,97.6275195294951,33.7611444045089,-32.8702178599595,0,0,0
17,-919.764238561804,-92.5252043222104,10.3700947008912,7.66276947813852,1.5794769444249,0.0801975669025389,-919.862405430817,-92.4172114618213,10.382811576994,7.65771083854765,1.58040844830508,0.0824761422682928,-500,0,0,0,0,0,0,0,73.9537270068696,26.7935780931342,-29.0132373808173,0,0,0
18,-912.065299109168,-90.9323337220971,10.426348209497,7.7350872659395,1.606264255805,0.0322681265042274,-912.14035749596,-90.9310162703967,10.2413930951791,7.73826573534908,1.60584486130057,0.03855162598182,-500,0,0,0,0,0,0,0,50.4541414570115,21.277546410736,-24.3379487885403,0,0,0
19,-904.3058051161,-89.3154328665757,10.4371397718887,7.78388139879846,1.62753745519647,-0.0107130339335957,-904.227007320069,-89.2612171385045,10.4422131897007,7.78302121361659,1.62892871764398,0.0125883879975089,-500,0,0,0,0,0,0,0,30.151893278479,15.6295625126114,-22.1432651791524,0,0,0
20,-896.507698742502,-87.6800819888973,10.4061943809111,7.81231346823352,1.64316430012113,-0.0511942745915626,-896.653305101817,-87.7046273084789,10.3794197401029,7.81388618616473,1.63212198526241,-0.0544488716896521,-500,0,0,0,0,0,0,0,11.9179915871612,12.1970560907164,-15.3139523112406,0,0,0
21,-888.690246845439,-86.0308197495241,10.3383498310119,7.82257651736823,1.65536017861191,-0.0845010840096421,-888.624489217412,-86.1331964187242,10.216070889119,7.83376010240171,1.65347813829303,-0.0794540826445034,-500,0,0,0,0,0,0,0,-6.12703180534697,6.91857900814497,-12.4867335137876,0,0,0
22,-880.871557844912,-84.3720001391667,10.2388187878694,7.8147895165862,1.66227904210484,-0.114557058754624,-880.766994739417,-84.2268603292662,10.405361988315,7.80755824654462,1.66910809871556,-0.111917073202942,-500,0,0,0,0,0,0,0,-19.2218351756294,1.54291078697659,-9.61901665633593,0,0,0
23,-873.067199595851,-82.7089489625731,10.1108483330655,7.79391683980033,1.66382331124416,-0.141372506497245,-873.126375486968,-82.6798954961637,10.2413599469747,7.80753208123923,1.67381626226645,-0.139900666280365,-500,0,0,0,0,0,0,0,-34.5004571499878,-2.02183523431705,-6.49265326591283,0,0,0
24,-865.291338365497,-81.0461352651133,9.95786759495133,7.7577975090478,1.66180408384189,-0.164569012424722,-865.384258114037,-80.9062342673921,9.95337840118536,7.76185414223019,1.66074758725789,-0.176708654943653,-500,0,0,0,0,0,0,0,-45.4168979949454,-4.26229019100532,-2.2358913080054,0,0,0
25,-857.55701636675,-79.3864605602279,9.78403291578193,7.71084100410374,1.65754532611012,-0.18307426275119,-857.45336077457,-79.2786414198683,9.77867379513174,7.71099597392008,1.65969732656444,-0.174354970628264,-500,0,0,0,0,0,0,0,-56.192875842868,-7.41244981670783,-2.12185052743707,0,0,0
26,-849.875051338727,-77.7326192686967,9.59198749884584,7.65308387266945,1.65013725705596,-0.200984382983864,-849.856432979193,-77.7542613240463,9.5977093310268,7.64649714729041,1.62770120693589,-0.198617203731783,-500,0,0,0,0,0,0,0,-64.9368487706564,-7.26159804549619,0.66630171112466,0,0,0
27,-842.255186056506,-76.0861102549322,9.38365609925086,7.58664331370638,1.6428807705919,-0.215641315122642,-842.312978474579,-75.9367983629933,9.55780637161742,7.59670222306829,1.63914976188262,-0.212791519079544,-500,0,0,0,0,0,0,0,-75.0442653576717,-12.0413794622754,2.16353916471961,0,0,0
28,-834.706798905415,-74.4492472095057,9.16168812082921,7.51012872293767,1.63084532030175,-0.228251846804526,-834.681405539547,-74.2912167571441,9.10541777952723,7.51257766471622,1.63174465650774,-0.23529106463822,-500,0,0,0,0,0,0,0,-81.8949553925282,-14.5920321364858,5.31827090476755,0,0,0
29,-827.238304670445,-72.8256946467241,8.92892736670702,7.4268594887405,1.61625980521421,-0.237223046193331,-827.152321965816,-72.8088132633945,9.01852686022358,7.4493983975774,1.62600189135589,-0.230875802572094,-500,0,0,0,0,0,0,0,-90.6351958261084,-16.9825626088003,5.05052653676227,0,0,0
30,-819.857452574712,-71.2179225230562,8.68735037564641,7.33484456798567,1.59928444202109,-0.245879376283772,-819.856515846354,-71.1329472725933,8.6645998721825,7.32681178952458,1.60042248006585,-0.235419708246312,-500,0,0,0,0,0,0,0,-92.9681472597505,-17.7763534613983,6.21277108026624,0,0,0
