sys.exec.out.time {s},chaser.lvlh_rel_state.rel_state.trans.position[0] {m},chaser.lvlh_rel_state.rel_state.trans.position[1] {m},chaser.lvlh_rel_state.rel_state.trans.position[2] {m},chaser.lvlh_rel_state.rel_state.trans.velocity[0] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[1] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[2] {m/s},gnc.meas_rel_pos[0] {m},gnc.meas_rel_pos[1] {m},gnc.meas_rel_pos[2] {m},gnc.meas_rel_vel[0] {m/s},gnc.meas_rel_vel[1] {m/s},gnc.meas_rel_vel[2] {m/s},gnc.setpoint_pos[0] {m},gnc.setpoint_pos[1] {m},gnc.setpoint_pos[2] {m},gnc.setpoint_vel[0] {m/s},gnc.setpoint_vel[1] {m/s},gnc.setpoint_vel[2] {m/s},gnc.guidance.state_ {1},gnc.guidance.current_leg_ {--},gnc.cmd_force[0] {N},gnc.cmd_force[1] {N},gnc.cmd_force[2] {N},gnc.control.saturated_[0] {--},gnc.control.saturated_[1] {--},gnc.control.saturated_[2] {--}
0,-1031.26861014982,-71.5408164624795,45.1823618803173,0.391135848635552,-0.700563616667437,1.40847598638138,-1031.40889742073,-71.6453311435237,44.9864224233426,0.387982927813429,-0.699850186776287,1.3943204612025,-500,0,0,0,0,0,0,0,1024.01950206011,213.275680964676,-229.404890966935,0,0,0
1,-1030.3646692132,-72.1347902241849,46.4750627165131,1.41661525954844,-0.487383906742173,1.17634568322704,-1030.30147902612,-72.2251025134639,46.4945058081088,1.42438877156605,-0.491812420774215,1.18558914202552,-500,0,0,0,0,0,0,0,918.164080895627,193.631447104349,-211.54792581877,0,0,0
2,-1028.4885493656,-72.5254014634334,47.5429499077038,2.33550260424065,-0.29383857174886,0.958908850482544,-1028.52660686802,-72.5691136400198,47.6810906390331,2.33180802943744,-0.283688703616003,0.956037851262839,-500,0,0,0,0,0,0,0,823.872410792301,173.50709764164,-190.96596640435,0,0,0
3,-1025.74101880669,-72.7325251267592,48.4022992168607,3.15944733873167,-0.120408754918258,0.759323504440752,-1025.81982931876,-72.8364157219761,48.4561242743739,3.17901410722481,-0.119215302866707,0.751704026417362,-500,0,0,0,0,0,0,0,733.738247915049,157.594361730623,-172.082651190484,0,0,0
4,-1022.21490124275,-72.7741711244386,49.0703170915573,3.89268648111782,0.0371167595323596,0.576297179917089,-1022.21014863681,-72.8274172834016,49.0277656838854,3.91024045161648,0.0455797044635788,0.581561963280481,-500,0,0,0,0,0,0,0,653.396252111977,141.096864120445,-156.211727695819,0,0,0
5,-1017.9959743751,-72.6665366028675,49.5622324558192,4.54507425080308,0.178152283571612,0.40716412085494,-1018.18819437626,-72.6335303225026,49.697222392937,4.53816233634479,0.170881640177888,0.407128664635532,-500,0,0,0,0,0,0,0,582.560155118047,128.178896627216,-140.107311249427,0,0,0
6,-1013.16030148308,-72.4243222204153,49.8922045991215,5.12618708424498,0.306276481343993,0.252450969723281,-1013.17708756969,-72.4858714193146,49.9937982148977,5.13054967790826,0.306511409524802,0.270842531555038,-500,0,0,0,0,0,0,0,513.299207348561,114.320601886149,-127.071849585299,0,0,0
7,-1007.77834721755,-72.0609095550898,50.0732733274277,5.63764394571188,0.420548849325131,0.109396618717596,-1007.62093407044,-72.1136219814234,50.0822679906181,5.63573720076984,0.406817539357544,0.093693289146785,-500,0,0,0,0,0,0,0,451.668148063891,103.545490027092,-109.533864895915,0,0,0
8,-1001.91590326519,-71.5886091700304,50.1194705583734,6.08717604621911,0.524051920875104,-0.0172570619138908,-1001.90844866559,-71.611899732551,50.1218255756215,6.07953353697701,0.522322703599679,-0.00117749107606863,-500,0,0,0,0,0,0,0,395.863543633487,90.9915291051341,-100.125902043636,0,0,0
9,-995.631984298943,-71.0190800952043,50.0432417039606,6.48059904783418,0.615006228856215,-0.135423871740914,-995.68034272953,-71.1176668857855,50.235627878945,6.49605428917766,0.605057045181434,-0.134400849787164,-500,0,0,0,0,0,0,0,341.755256541293,81.7296292534275,-87.0311707791736,0,0,0
10,-988.981809070278,-70.3632251216676,49.8550336912952,6.81969582701197,0.696703718278411,-0.241184697023312,-988.945685507678,-70.5017907519522,49.8371081451885,6.81721884117384,0.702440810464387,-0.247699922353635,-500,0,0,0,0,0,0,0,296.169486897972,70.7595004574657,-74.9042240550135,0,0,0
11,-982.015419442684,-69.6311555768454,49.566837522264,7.11303459740893,0.767435371414131,-0.335374343461385,-981.89197949806,-69.4746906786917,49.5748503508242,7.10128925078841,0.766310149897164,-0.328636209169136,-500,0,0,0,0,0,0,0,253.655033917279,62.318366367667,-66.2860797847348,0,0,0
12,-974.77703436764,-68.8325729584656,49.1885522430553,7.36369155287232,0.829729865342397,-0.421338811881393,-974.879384741723,-68.7607788347361,49.2956964217261,7.3546237077511,0.831377207305624,-0.430337354863255,-500,0,0,0,0,0,0,0,214.296398708337,54.3838369389099,-55.5576573571268,0,0,0
13,-967.3077224603,-67.9756612564401,48.7295308872938,7.57489434129034,0.884093538703316,-0.496824208845284,-967.359978348331,-67.8325023963522,48.6775462424379,7.57070403310245,0.895722806003289,-0.495850030525126,-500,0,0,0,0,0,0,0,177.649553386417,46.0927241923754,-47.7700894323631,0,0,0
14,-959.645580994886,-67.0685297223771,48.1988496193156,7.74935513602014,0.930169529409566,-0.564637879664273,-959.667663584914,-67.0733682155516,47.9929638867411,7.73962541715988,0.940241335528373,-0.57800407077466,-500,0,0,0,0,0,0,0,145.372785453841,40.1226028782659,-38.1855206960162,0,0,0
15,-951.825133564056,-66.1183057333593,47.6051240244252,7.89151178291347,0.970278448616059,-0.622894614125001,-951.785775391523,-66.2046875954042,47.6261617772334,7.89449757225454,0.966292839450673,-0.628571140865604,-500,0,0,0,0,0,0,0,114.121793557592,35.7800912457411,-32.3952094679064,0,0,0
16,-943.87818374724,-65.1301426228982,46.9560777486601,8.0023633244175,1.00604777223844,-0.675261546015152,-943.858839725546,-65.1190762736454,46.7698768943896,8.00656457275131,1.00424710975214,-0.680267141601604,-500,0,0,0,0,0,0,0,87.0612221759603,29.8134415720768,-25.5130396286188,0,0,0
17,-935.833917430797,-64.1091922412765,46.2581764966444,8.08614882965514,1.0358529909627,-0.720589271365665,-935.93208429981,-64.0011993808874,46.2708933727472,8.08109019006427,1.03678449484288,-0.718310695999911,-500,0,0,0,0,0,0,0,63.7551495931938,24.3239492774866,-20.7107171455034,0,0,0
18,-927.71752873304,-63.0611802971648,45.5174423604071,8.14661096664193,1.06017089721852,-0.760914132964218,-927.792587119832,-63.0598628454644,45.3324872460892,8.14978943605151,1.05975150271409,-0.754630633486625,-500,0,0,0,0,0,0,0,40.6062306345129,20.1445754195199,-15.2019111435159,0,0,0
