sys.exec.out.time {s},chaser.lvlh_rel_state.rel_state.trans.position[0] {m},chaser.lvlh_rel_state.rel_state.trans.position[1] {m},chaser.lvlh_rel_state.rel_state.trans.position[2] {m},chaser.lvlh_rel_state.rel_state.trans.velocity[0] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[1] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[2] {m/s},gnc.meas_rel_pos[0] {m},gnc.meas_rel_pos[1] {m},gnc.meas_rel_pos[2] {m},gnc.meas_rel_vel[0] {m/s},gnc.meas_rel_vel[1] {m/s},gnc.meas_rel_vel[2] {m/s},gnc.setpoint_pos[0] {m},gnc.setpoint_pos[1] {m},gnc.setpoint_pos[2] {m},gnc.setpoint_vel[0] {m/s},gnc.setpoint_vel[1] {m/s},gnc.setpoint_vel[2] {m/s},gnc.guidance.state_ {1},gnc.guidance.current_leg_ {--},gnc.cmd_force[0] {N},gnc.cmd_force[1] {N},gnc.cmd_force[2] {N},gnc.control.saturated_[0] {--},gnc.control.saturated_[1] {--},gnc.control.saturated_[2] {--}
0,-1034.40439881565,-31.2747537310066,-65.2736050998792,0.0786693221830266,-0.554767466827905,0.968731020252612,-1034.54468608656,-31.3792684120508,-65.4695445568539,0.0755164013609039,-0.554054036936754,0.954575495073736,-500,0,0,0,0,0,0,0,1061.53773203703,118.163940517777,35.4815396063342,0,0,0
1,-1033.79450008556,-31.7704775434604,-64.2879464830184,1.14114738634344,-0.436680158078454,1.00198507958623,-1033.73130989848,-31.8607898327393,-64.2685033914226,1.14892089836105,-0.441108672110496,1.01122853838472,-500,0,0,0,0,0,0,0,952.570529960848,107.832446876528,27.4141529443736,0,0,0
2,-1032.17656046536,-32.1532758710586,-63.2747393097316,2.09474532687726,-0.328916497117264,1.02388974255698,-1032.21461796778,-32.196988047645,-63.1365985784023,2.09105075207405,-0.318766628984406,1.02101874333728,-500,0,0,0,0,0,0,0,855.324160728165,96.2706389937306,24.1713228230771,0,0,0
3,-1029.65361275501,-32.4340879315332,-62.2426949875182,2.9511607058678,-0.232707623843577,1.03971437628881,-1029.73242326709,-32.5379785267501,-62.188869930005,2.97072747436093,-0.231514171792027,1.03209489826542,-500,0,0,0,0,0,0,0,762.392099098087,88.2273742327029,21.1682500334676,0,0,0
4,-1026.32069176392,-32.6227093965164,-61.1975637544274,3.71468933846934,-0.14453530615023,1.05011613000864,-1026.31593915798,-32.6759555554794,-61.2401151620993,3.732243308968,-0.136072361219011,1.05538091337203,-500,0,0,0,0,0,0,0,679.407547419166,78.9591472328599,16.9421389869958,0,0,0
5,-1022.26572311806,-32.7277896653567,-60.1451986088663,4.39525291939495,-0.0656252315562163,1.0542291504202,-1022.45794311922,-32.6947833849917,-60.0102086717486,4.38834100493665,-0.072895874949941,1.05419369420079,-500,0,0,0,0,0,0,0,606.081785744779,72.6791542649775,14.6010479234176,0,0,0
6,-1017.56684721375,-32.7570972091767,-59.0907915070063,5.00250194711148,0.00701014391380555,1.05424153601423,-1017.58363330036,-32.818646408076,-58.9891978912301,5.00686454077475,0.00724507209461392,1.07263309784599,-500,0,0,0,0,0,0,0,534.480812523246,64.9127856066905,10.7150859978612,0,0,0
7,-1012.29652917039,-32.7176499809003,-58.0390564839154,5.53813454838178,0.0718843126655693,1.04892551884997,-1012.13911602328,-32.7703624072339,-58.0300618207251,5.53622780343974,0.0581530026979821,1.03322218927916,-500,0,0,0,0,0,0,0,470.655451702581,59.7254245446695,12.737904713534,0,0,0
8,-1006.52248019384,-32.6159199510797,-56.9922413541338,6.00996460371289,0.131575747044318,1.04443785916088,-1006.51502559425,-32.6392105136003,-56.9898863368857,6.00232209447078,0.129846529768893,1.0605174299987,-500,0,0,0,0,0,0,0,412.797841741416,52.2937680503113,7.92802967390122,0,0,0
9,-1000.30555055139,-32.4582122334116,-55.9528203415079,6.42389289349751,0.183839688366836,1.03417005435253,-1000.35390898198,-32.5567990239928,-55.7604341665235,6.439348134841,0.173890504692055,1.03519307630629,-500,0,0,0,0,0,0,0,356.773004479852,47.7245475787801,8.00156070241846,0,0,0
10,-993.702708833461,-32.2505231579511,-54.9240114952411,6.78178862938495,0.231538462591687,1.02324523865313,-993.666585270861,-32.3890887882357,-54.9419370413477,6.77931164354682,0.237275554777663,1.01673001332281,-500,0,0,0,0,0,0,0,309.40200618704,41.0506220987051,8.21087275041469,0,0,0
11,-986.76566011996,-31.9984705570389,-53.9063316219089,7.0923068820682,0.27256673929755,1.01193892167037,-986.642220175336,-31.8420056588852,-53.8983187933487,7.08056153544768,0.271441517780583,1.01867705596261,-500,0,0,0,0,0,0,0,265.228286805905,36.5398595397121,5.92893199043598,0,0,0
12,-979.54019990249,-31.7076434680756,-52.9013224513153,7.35861029214861,0.30908743859731,0.997928854243123,-979.642550276573,-31.6358493443461,-52.7941782726445,7.34954244702739,0.310734780560536,0.988930311261261,-500,0,0,0,0,0,0,0,224.330855850407,32.1982206326386,6.69532541916294,0,0,0
13,-972.068887319596,-31.3824650181612,-51.9100880048007,7.58401204895554,0.341269461198648,0.984412624113617,-972.121143207627,-31.2393061580732,-51.9620726496567,7.57982174076765,0.352898728498622,0.985386802433775,-500,0,0,0,0,0,0,0,186.260112338489,27.1887394662842,5.38546505593592,0,0,0
14,-964.391225334118,-31.0276079121741,-50.9331024712184,7.77130841231959,0.368444750769344,0.969452595330926,-964.413307924146,-31.0324464053486,-51.1389882037929,7.76157869345933,0.378516556888151,0.956086404220539,-500,0,0,0,0,0,0,0,152.66874650236,24.2132371218822,6.66933598553183,0,0,0
15,-956.543060093047,-30.6470620497752,-49.9704650853793,7.92501937155911,0.392646974030772,0.955735336551747,-956.503701920513,-30.7334439118201,-49.9494273325711,7.92800516090018,0.388661364865385,0.950058809811145,-500,0,0,0,0,0,0,0,120.206887751008,22.6007513371018,4.89297368402779,0,0,0
16,-948.557436679201,-30.2431190368818,-49.022397248488,8.04622389174644,0.415239051721501,0.940331895352312,-948.538092657507,-30.232052687629,-49.2085981027585,8.05042514008025,0.413438389235205,0.93532629976586,-500,0,0,0,0,0,0,0,92.0336713069894,19.1202664517375,4.88456622893099,0,0,0
17,-940.464703763003,-29.8183231696925,-48.089669321381,8.13923852514315,0.434352682639031,0.925071467392423,-940.562870632016,-29.7103303093034,-48.0769524452782,8.13417988555228,0.435284186519216,0.927350042758177,-500,0,0,0,0,0,0,0,67.7077527088037,15.8922419666853,3.41890061473879,0,0,0
18,-932.291142128141,-29.3760268072966,-47.172842441383,8.20788066378067,0.450240042133358,0.908543596686461,-932.366200514932,-29.3747093555961,-47.3577975557008,8.21105913319025,0.449820647628929,0.914827096164053,-500,0,0,0,0,0,0,0,43.6264877108399,13.7673539482994,3.23288549499634,0,0,0
19,-924.060990586859,-28.9189046587746,-46.2724918750696,8.25241843979546,0.464004254873076,0.892132478330303,-923.982192790828,-28.8646889307034,-46.2674184572575,8.25155825461359,0.465395517320585,0.915433900261407,-500,0,0,0,0,0,0,0,22.8085601202976,11.1898261293482,0.991446888374284,0,0,0
20,-915.796745143749,-28.4493063135658,-45.389510941938,8.27606741173081,0.475192435500815,0.873816152045747,-915.942351503064,-28.4738516331474,-45.4162855827462,8.27764012966202,0.464150120642104,0.870561554947658,-500,0,0,0,0,0,0,0,4.12069003992656,10.5326912020845,3.77641567072654,0,0,0
21,-907.518173865401,-27.9688476727663,-44.5232705710554,8.28107190710624,0.485724845995608,0.858661902279882,-907.452416237375,-28.0712243419664,-44.6455495129483,8.29225549213972,0.483842805676735,0.86370890364502,-500,0,0,0,0,0,0,0,-14.3207167392229,7.7581681162592,2.92020866139453,0,0,0
22,-899.243836442997,-27.4792432179891,-43.6723896161928,8.26759947070972,0.493484063573422,0.843107775997998,-899.139273337501,-27.3341034080886,-43.5058464157472,8.26036820066814,0.500313120184142,0.845747761549681,-500,0,0,0,0,0,0,0,-27.7582733918109,4.63689479776306,2.43691667652625,0,0,0
23,-890.989704754142,-26.9834396974215,-42.8371052243594,8.24066038290615,0.498122977725765,0.827476395123273,-891.048880645258,-26.9543862310122,-42.7065936104502,8.25427562434505,0.50811592874805,0.828948235340153,-500,0,0,0,0,0,0,0,-43.3298011439881,3.0971795872193,2.51836368688502,0,0,0
24,-882.770304497362,-26.4837665568689,-42.0171528079379,8.19813692755712,0.501223303548127,0.812452638767575,-882.863224245902,-26.3438655591477,-42.0216420017038,8.20219356073951,0.50016680696413,0.800312996248645,-500,0,0,0,0,0,0,0,-54.4929075821465,2.67105042188247,4.01198437854322,0,0,0
25,-874.598995335307,-25.9812057477996,-41.2112463585825,8.14447927143884,0.503898314674156,0.799390760651643,-874.495339743127,-25.87338660744,-41.2166054792327,8.14463424125517,0.506050315128484,0.808110052774569,-500,0,0,0,0,0,0,0,-65.4727446392636,1.14174170203156,1.62220568100844,0,0,0
26,-866.486873026012,-25.4767341903568,-40.4193423781558,8.07976212415352,0.505044800374814,0.784453958548295,-866.468254666478,-25.4983762457064,-40.4136205459749,8.07317539877449,0.482608750254741,0.786821137800376,-500,0,0,0,0,0,0,0,-74.3810305444933,2.7358774659388,2.14512731191209,0,0,0
