sys.exec.out.time {s},chaser.lvlh_rel_state.rel_state.trans.position[0] {m},chaser.lvlh_rel_state.rel_state.trans.position[1] {m},chaser.lvlh_rel_state.rel_state.trans.position[2] {m},chaser.lvlh_rel_state.rel_state.trans.velocity[0] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[1] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[2] {m/s},gnc.meas_rel_pos[0] {m},gnc.meas_rel_pos[1] {m},gnc.meas_rel_pos[2] {m},gnc.meas_rel_vel[0] {m/s},gnc.meas_rel_vel[1] {m/s},gnc.meas_rel_vel[2] {m/s},gnc.setpoint_pos[0] {m},gnc.setpoint_pos[1] {m},gnc.setpoint_pos[2] {m},gnc.setpoint_vel[0] {m/s},gnc.setpoint_vel[1] {m/s},gnc.setpoint_vel[2] {m/s},gnc.guidance.state_ {1},gnc.guidance.current_leg_ {--},gnc.cmd_force[0] {N},gnc.cmd_force[1] {N},gnc.cmd_force[2] {N},gnc.control.saturated_[0] {--},gnc.control.saturated_[1] {--},gnc.control.saturated_[2] {--}
0,-965.728857820941,-89.7540971388786,-27.9381746100262,0.486093265726886,1.17410423352022,2.74219483430716,-965.869145091854,-89.8586118199228,-28.1341140670009,0.482940344904763,1.17481766341137,2.72803930912828,-500,0,0,0,0,0,0,0,883.444255693232,62.2354572987088,-216.535702778826,0,0,0
1,-964.798701443961,-88.5488089859699,-25.3053801998549,1.37409604793541,1.23647207229826,2.52289265322854,-964.735511256879,-88.6391212752489,-25.2859371082591,1.38186955995302,1.23204355826622,2.53213611202702,-500,0,0,0,0,0,0,0,791.284066518456,54.0738867238755,-202.641736986184,0,0,0
2,-963.02697636948,-87.2852407420903,-22.886333843563,2.16923750931741,1.29066441546005,2.31475112479685,-963.065033871902,-87.3289529186767,-22.7481931122337,2.1655429345142,1.30081428359291,2.31188012557714,-500,0,0,0,0,0,0,0,709.575774292383,44.5764774780623,-185.691626333247,0,0,0
3,-960.501283816792,-85.9722350018847,-20.6681560097033,2.8820397390954,1.33534706493418,2.12120206673798,-960.580094328872,-86.0761255971016,-20.6143309521901,2.90160650758854,1.33654051698573,2.11358258871459,-500,0,0,0,0,0,0,0,630.99953789889,38.4981994956297,-170.129596967078,0,0,0
4,-957.302364420338,-84.6175916628731,-18.6367700562184,3.51569929613982,1.37393961305939,1.94121202262108,-957.297611814404,-84.670837821836,-18.6793214638903,3.53325326663848,1.38240255799061,1.94647680598448,-500,0,0,0,0,0,0,0,561.269896964961,31.101419844611,-157.289037670667,0,0,0
5,-953.504911984752,-83.2280594180723,-16.7798249595904,4.07911250006239,1.40512487650438,1.77235999381557,-953.697131985919,-83.1950531377073,-16.6448350224726,4.0722005856041,1.39785423311066,1.77232453759616,-500,0,0,0,0,0,0,0,500.174205411428,26.6046829643491,-143.942783714671,0,0,0
6,-949.174826809341,-81.8095948665693,-15.0858014995011,4.58097184534961,1.43180422649509,1.61540347808884,-949.191612895956,-81.8711440654686,-14.9842078837249,4.58533443901289,1.43203915467589,1.6337950399206,-500,0,0,0,0,0,0,0,439.849781890623,20.5383726633477,-133.41108822461,0,0,0
7,-944.373259260118,-80.3674886681105,-13.5440758199644,5.02208283975935,1.45240817044197,1.46779871735506,-944.215846113006,-80.4202010944441,-13.535081156774,5.02017609481731,1.43867686047438,1.45209538778425,-500,0,0,0,0,0,0,0,386.414082744281,16.9727161414504,-118.139376464877,0,0,0
8,-939.157468770151,-78.9065653431857,-12.1428210291229,5.40942608048815,1.46943847947773,1.33449204091919,-939.150014170555,-78.9298559057064,-12.1404660118748,5.40178357124605,1.46770926220231,1.35057161175701,-500,0,0,0,0,0,0,0,338.121671216504,11.088785591182,-110.776229151952,0,0,0
9,-933.578658170725,-77.4315573223622,-10.8715985044021,5.74812701213124,1.48057756228034,1.20776163658227,-933.627016601312,-77.5301441129434,-10.6792123294177,5.76358225347473,1.47062837860556,1.20878465853602,-500,0,0,0,0,0,0,0,290.895807855152,7.99745036533065,-99.5200411947662,0,0,0
