sys.exec.out.time {s},chaser.lvlh_rel_state.rel_state.trans.position[0] {m},chaser.lvlh_rel_state.rel_state.trans.position[1] {m},chaser.lvlh_rel_state.rel_state.trans.position[2] {m},chaser.lvlh_rel_state.rel_state.trans.velocity[0] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[1] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[2] {m/s},gnc.meas_rel_pos[0] {m},gnc.meas_rel_pos[1] {m},gnc.meas_rel_pos[2] {m},gnc.meas_rel_vel[0] {m/s},gnc.meas_rel_vel[1] {m/s},gnc.meas_rel_vel[2] {m/s},gnc.setpoint_pos[0] {m},gnc.setpoint_pos[1] {m},gnc.setpoint_pos[2] {m},gnc.setpoint_vel[0] {m/s},gnc.setpoint_vel[1] {m/s},gnc.setpoint_vel[2] {m/s},gnc.guidance.state_ {1},gnc.guidance.current_leg_ {--},gnc.cmd_force[0] {N},gnc.cmd_force[1] {N},gnc.cmd_force[2] {N},gnc.control.saturated_[0] {--},gnc.control.saturated_[1] {--},gnc.control.saturated_[2] {--}
0,-1024.13415878867,-7.66846525605082,44.0642101503909,-0.089874040532841,0.156228907897128,0.583689525018789,-1024.27444605958,-7.77297993709502,43.8682706934162,-0.0930269613549637,0.156942337788278,0.569533999839913,-500,0,0,0,0,0,0,0,1057.85158825466,-0.148273904637747,-144.689941370824,0,0,0
1,-1023.69519525434,-7.51229979102478,44.5750059516476,0.967718551557494,0.156102022157486,0.437303410469464,-1023.63200506726,-7.60261208030371,44.5944490432433,0.975492063575106,0.151673508125444,0.446546869267948,-500,0,0,0,0,0,0,0,949.714803777001,0.0378733480630675,-133.843585013281,0,0,0
2,-1022.25294330102,-7.3561692335231,44.943173498413,1.91670772680195,0.156159092843311,0.298494363617099,-1022.29100080344,-7.39988141010945,45.0813142297423,1.91301315199874,0.166308960976169,0.295623364397394,-500,0,0,0,0,0,0,0,853.280686407006,-1.831133277398,-119.724964899224,0,0,0
3,-1019.91012798238,-7.20091708299372,45.1781504254295,2.76885224761248,0.154345208205456,0.170976875301754,-1019.98893849446,-7.30480767821063,45.2319754829427,2.78841901610562,0.155538660257007,0.163357397278365,-500,0,0,0,0,0,0,0,761.135975378349,-0.9442506692794,-106.799690693722,0,0,0
4,-1016.7614228604,-7.04703630711946,45.2908402146702,3.52849379841685,0.153416343513325,0.0539723501562011,-1016.75667025446,-7.10028246608246,45.2482888069983,3.54604776891551,0.161879288444544,0.0592371335195934,-500,0,0,0,0,0,0,0,678.908563617375,-1.98736391228948,-96.420290965956,0,0,0
5,-1012.89435261449,-6.89460678430382,45.2906629700042,4.20558766520056,0.151442702083961,-0.0547105545474578,-1013.08657261566,-6.86160050393886,45.425652907122,4.19867575074226,0.144172058690236,-0.0547460107668654,-500,0,0,0,0,0,0,0,606.305570157087,-0.694004861145887,-85.3767047375574,0,0,0
6,-1008.38662877221,-6.74350495673304,45.1864253831621,4.80980665713862,0.150760953038895,-0.154107163315993,-1008.40341485883,-6.80505415563229,45.2880189989383,4.8141692508019,0.150995881219703,-0.135715601484236,-500,0,0,0,0,0,0,0,535.389904637461,-1.48947981070576,-77.0044778494529,0,0,0
7,-1003.31026968373,-6.59348333335643,44.9862358326614,5.34286244466668,0.149282293735923,-0.246574265431394,-1003.15285653662,-6.64619575969002,44.9952304958518,5.34095569972464,0.135550983768336,-0.262277595002205,-500,0,0,0,0,0,0,0,472.210143100772,-0.262706857453555,-63.762701491483,0,0,0
8,-997.732530347947,-6.44432761892795,44.6995836049109,5.81257428926813,0.149029135186337,-0.326996721418254,-997.72507574835,-6.46761818144857,44.7019386221589,5.80493178002602,0.147299917910912,-0.310917150580432,-500,0,0,0,0,0,0,0,414.956973494099,-1.79475542819403,-58.3121621862747,0,0,0
9,-991.713802462079,-6.29619166747295,44.3347303522865,6.2248423623095,0.147242767809222,-0.402943850487417,-991.762160892667,-6.39477845805417,44.5271165272709,6.24029760365299,0.137293584134441,-0.401920828533667,-500,0,0,0,0,0,0,0,359.494561420035,-0.939801497335804,-48.862150201175,0,0,0
