sys.exec.out.time {s},chaser.lvlh_rel_state.rel_state.trans.position[0] {m},chaser.lvlh_rel_state.rel_state.trans.position[1] {m},chaser.lvlh_rel_state.rel_state.trans.position[2] {m},chaser.lvlh_rel_state.rel_state.trans.velocity[0] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[1] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[2] {m/s},gnc.meas_rel_pos[0] {m},gnc.meas_rel_pos[1] {m},gnc.meas_rel_pos[2] {m},gnc.meas_rel_vel[0] {m/s},gnc.meas_rel_vel[1] {m/s},gnc.meas_rel_vel[2] {m/s},gnc.setpoint_pos[0] {m},gnc.setpoint_pos[1] {m},gnc.setpoint_pos[2] {m},gnc.setpoint_vel[0] {m/s},gnc.setpoint_vel[1] {m/s},gnc.setpoint_vel[2] {m/s},gnc.guidance.state_ {1},gnc.guidance.current_leg_ {--},gnc.cmd_force[0] {N},gnc.cmd_force[1] {N},gnc.cmd_force[2] {N},gnc.control.saturated_[0] {--},gnc.control.saturated_[1] {--},gnc.control.saturated_[2] {--}
0,-902.285688068035,88.8193648962913,-30.7392844501883,-0.379972090924452,-0.345496154061228,0.956964476005933,-902.425975338948,88.7148502152471,-30.935223907163,-0.383125011746575,-0.344782724170078,0.942808950827058,-500,0,0,0,0,0,0,0,843.164451852554,-142.951428013486,-32.4104472683799,0,0,0
1,-902.243596520078,88.4023742464107,-29.7986495981273,0.464136491101343,-0.488485145698592,0.923827686954804,-902.180406332996,88.3120619571317,-29.7792065065315,0.471910003118955,-0.492913659730635,0.933071145753288,-500,0,0,0,0,0,0,0,757.169812354096,-127.3327579412,-33.7487015622658,0,0,0
2,-901.400452005655,87.8502058859156,-28.8931501254232,1.22213212067201,-0.615851575292562,0.886742407407928,-901.438509508077,87.8064937093293,-28.7550093940939,1.2184375458688,-0.605701707159705,0.883871408188223,-500,0,0,0,0,0,0,0,681.033264429275,-115.042816702688,-30.8771220306345,0,0,0
3,-899.837436779302,87.1768177627853,-28.0244522962106,1.90387872068672,-0.730924670978466,0.85026751619877,-899.916247291382,87.0729271675684,-27.9706272386974,1.92344548917986,-0.729731218926915,0.842648038175381,-500,0,0,0,0,0,0,0,607.487945664777,-101.172732442445,-28.3235493401433,0,0,0
4,-897.629500659553,86.395293226151,-27.1919383428902,2.51197467292522,-0.832124402317565,0.814416306205686,-897.624748053619,86.342047067188,-27.2344897505621,2.52952864342388,-0.823661457386345,0.819681089569078,-500,0,0,0,0,0,0,0,542.296631764851,-90.3179483957414,-27.4991294557836,0,0,0
5,-894.846118382938,85.5179978133779,-26.3957068076853,3.05477093577703,-0.922466423259915,0.777739602796006,-895.038338384105,85.5510040937429,-26.2607168705675,3.04785902131874,-0.929737066653639,0.777704146576598,-500,0,0,0,0,0,0,0,485.290774636335,-78.1283015221219,-25.2489809165248,0,0,0
6,-891.548491555973,84.5564564725339,-25.6357510041971,3.54046457481126,-1.00061625844464,0.741897136767956,-891.565277642587,84.4949072736347,-25.534157388421,3.54482716847454,-1.00038133026383,0.760288698599713,-500,0,0,0,0,0,0,0,428.647838437721,-68.9516815208861,-24.9605550831294,0,0,0
7,-887.793545323087,83.5213548805976,-24.9120898952371,3.96940954715611,-1.06958692539546,0.705182305018689,-887.636132175974,83.468642454264,-24.9030952320467,3.96750280221407,-1.08331823536305,0.689478975447877,-500,0,0,0,0,0,0,0,378.521984130541,-58.6054613722234,-19.1417070806943,0,0,0
8,-883.634744615831,82.4224568228364,-24.2227323554088,4.34817652635058,-1.12820919005482,0.673318375695322,-883.627290016234,82.3991662603158,-24.2203773381607,4.34053401710848,-1.12993840733024,0.689397946533145,-500,0,0,0,0,0,0,0,333.20117832162,-51.8044917876073,-20.499039976993,0,0,0
9,-879.119889481081,81.2683380150573,-23.5663267410023,4.68151741427895,-1.18002842543301,0.639304145684762,-879.168247911669,81.169751224476,-23.3739405660179,4.69697265562243,-1.18997760910779,0.640327167638512,-500,0,0,0,0,0,0,0,288.639230261094,-43.3417415381728,-17.2848356318153,0,0,0
