sys.exec.out.time {s},chaser.lvlh_rel_state.rel_state.trans.position[0] {m},chaser.lvlh_rel_state.rel_state.trans.position[1] {m},chaser.lvlh_rel_state.rel_state.trans.position[2] {m},chaser.lvlh_rel_state.rel_state.trans.velocity[0] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[1] {m/s},chaser.lvlh_rel_state.rel_state.trans.velocity[2] {m/s},gnc.meas_rel_pos[0] {m},gnc.meas_rel_pos[1] {m},gnc.meas_rel_pos[2] {m},gnc.meas_rel_vel[0] {m/s},gnc.meas_rel_vel[1] {m/s},gnc.meas_rel_vel[2] {m/s},gnc.setpoint_pos[0] {m},gnc.setpoint_pos[1] {m},gnc.setpoint_pos[2] {m},gnc.setpoint_vel[0] {m/s},gnc.setpoint_vel[1] {m/s},gnc.setpoint_vel[2] {m/s},gnc.guidance.state_ {1},gnc.guidance.current_leg_ {--},gnc.cmd_force[0] {N},gnc.cmd_force[1] {N},gnc.cmd_force[2] {N},gnc.control.saturated_[0] {--},gnc.control.saturated_[1] {--},gnc.control.saturated_[2] {--}
0,-1076.04737333823,40.0896804062129,30.1545989401639,-0.412460537436671,0.0288308334895886,1.13655056655713,-1076.18766060915,39.9851657251687,29.9586594831892,-0.415613458258794,0.0295442633807389,1.12239504137825,-500,0,0,0,0,0,0,0,1193.93666704417,-82.9247577884113,-172.156823104204,0,0,0
1,-1075.86237947841,40.0770516149852,31.2047859789206,0.782350263633793,-0.0540884159432711,0.963147529409149,-1075.79918929133,39.9867393257063,31.2242290705163,0.790123775651405,-0.0585169299753133,0.972390988207633,-500,0,0,0,0,0,0,0,1072.58600101752,-74.1217856538812,-159.687556961796,0,0,0
2,-1074.54353040219,39.9859047953293,32.0859238253129,1.85525558582453,-0.128205223367445,0.798521038574012,-1074.58158790461,39.942192618743,32.2240645566421,1.85156101102132,-0.118055355234587,0.795650039354307,-500,0,0,0,0,0,0,0,964.007074707091,-68.0788497140273,-144.013133048715,0,0,0
3,-1072.20631557371,39.8236623857053,32.8086440801322,2.8190894800338,-0.19627959590099,0.646373953554103,-1072.28512608579,39.7197717904884,32.8624691376454,2.83865624852694,-0.19508614384944,0.638754475530713,-500,0,0,0,0,0,0,0,860.704627318891,-59.9309291960328,-129.600385828362,0,0,0
4,-1068.95713877425,39.5974193269444,33.385029155523,3.67918672138233,-0.25620652165378,0.50590928174747,-1068.95238616832,39.5441731679814,33.3424777478511,3.69674069188098,-0.247743576722561,0.511174065110862,-500,0,0,0,0,0,0,0,768.230703148542,-54.3139886637067,-117.802362006788,0,0,0
5,-1064.89429991154,39.3140576039186,33.8256568128109,4.44641948450082,-0.310516924426995,0.374911575517577,-1065.08651991271,39.3470638842835,33.9606467499286,4.43950757004253,-0.31778756782072,0.37487611929817,-500,0,0,0,0,0,0,0,686.222282821159,-46.915370986495,-105.408905429674,0,0,0
6,-1060.10540401299,38.9800845960841,34.140465016264,5.13130714481592,-0.357429091240057,0.254316891262595,-1060.1221900996,38.9185353971849,34.2420586320401,5.1356697384792,-0.357194163059248,0.272708453094352,-500,0,0,0,0,0,0,0,606.677406351289,-42.1176544884449,-95.7549625735155,0,0,0
7,-1054.67154899006,38.6015981015488,34.3386629936674,5.73634268215895,-0.399543897806969,0.141736240156357,-1054.51413584295,38.5488856752152,34.3476576568578,5.73443593721692,-0.413275207774557,0.126032910585545,-500,0,0,0,0,0,0,0,535.58467796421,-35.7702505729748,-81.2986063722701,0,0,0
8,-1048.66831816223,38.1841703259241,34.4308072518966,6.27006652897351,-0.435311653324927,0.0422497452604709,-1048.66086356263,38.1608797634035,34.4331622691447,6.2624240197314,-0.437040870600352,0.058329316098293,-500,0,0,0,0,0,0,0,471.079325152119,-32.6176724667719,-74.6992561481187,0,0,0
9,-1042.16373834085,37.7325509430576,34.4261905769989,6.73904409763747,-0.467927112352738,-0.0517490383624115,-1042.21209677144,37.6339641524764,34.6185767519833,6.75449933898095,-0.477876296027518,-0.0507260164086614,-500,0,0,0,0,0,0,0,408.97425964478,-27.480298702201,-64.1645518631005,0,0,0
